scale,selector,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selector_status,failure_mode
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999989,1000000000000003,1000000000000037,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999947,999999999999967,999999999999989,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999947,999999999999967,999999999999989,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999883,999999999999893,999999999999947,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999883,999999999999893,999999999999947,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999877,999999999999881,999999999999883,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999877,999999999999881,999999999999883,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999827,999999999999839,999999999999877,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999827,999999999999839,999999999999877,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999809,999999999999817,999999999999827,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999809,999999999999817,999999999999827,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999577,999999999999599,999999999999643,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999577,999999999999599,999999999999643,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999521,999999999999551,999999999999571,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999521,999999999999551,999999999999571,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999409,999999999999421,999999999999491,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999409,999999999999421,999999999999491,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999353,999999999999361,999999999999389,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999353,999999999999361,999999999999389,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999283,999999999999307,999999999999353,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,d4_nlsc_without_threat_or_margin,999999999999283,999999999999307,999999999999353,,InsufficientBoundarySelectorStateError,no_selection
1000000000000000,milestone1_boundary_without_offset,999999999999199,999999999999271,999999999999283,,InsufficientBoundarySelectorStateError,no_selection
