scale,key_name,anchor_p,seed_q0,true_q_for_audit_only,selected_q,failure_mode
1000000000000000,K_seed_mods,999999999991793,999999999991813,999999999991823,999999999991831,selected_too_late
1000000000000000,K_seed_mods,999999999991697,999999999991703,999999999991721,,no_selection
1000000000000000,K_seed_mods,999999999991621,999999999991673,999999999991679,,no_selection
1000000000000000,K_seed_mods,999999999991523,999999999991549,999999999991621,999999999991561,selected_too_early
1000000000000000,K_seed_mods,999999999991451,999999999991459,999999999991483,999999999991463,selected_too_early
1000000000000000,K_seed_mods,999999999991411,999999999991429,999999999991441,,no_selection
1000000000000000,K_seed_mods,999999999991189,999999999991217,999999999991243,999999999991271,selected_too_late
1000000000000000,K_seed_mods,999999999991127,999999999991151,999999999991189,,no_selection
1000000000000000,K_seed_mods,999999999991099,999999999991103,999999999991127,999999999991147,selected_too_late
1000000000000000,K_seed_mods,999999999991067,999999999991079,999999999991099,999999999991117,selected_too_late
1000000000000000,K_seed_mods,999999999991019,999999999991033,999999999991051,,no_selection
1000000000000000,K_seed_mods,999999999990977,999999999990989,999999999991019,999999999991073,selected_too_late
1000000000000000,K_seed_mods,999999999990913,999999999990917,999999999990977,,no_selection
1000000000000000,K_seed_mods,999999999990883,999999999990899,999999999990913,,no_selection
1000000000000000,K_seed_mods,999999999990869,999999999990877,999999999990883,999999999990953,selected_too_late
1000000000000000,K_seed_mods,999999999990829,999999999990833,999999999990851,999999999990863,selected_too_late
1000000000000000,K_seed_mods,999999999990799,999999999990821,999999999990829,,no_selection
1000000000000000,K_seed_mods,999999999990721,999999999990727,999999999990767,,no_selection
1000000000000000,K_seed_mods,999999999990697,999999999990709,999999999990721,,no_selection
1000000000000000,K_seed_mods,999999999990671,999999999990679,999999999990697,,no_selection
1000000000000000,K_seed_mods,999999999990577,999999999990599,999999999990659,,no_selection
1000000000000000,K_seed_mods,999999999990493,999999999990503,999999999990577,,no_selection
1000000000000000,K_seed_mods,999999999990461,999999999990463,999999999990493,,no_selection
1000000000000000,K_seed_mods,999999999990443,999999999990457,999999999990461,999999999990563,selected_too_late
1000000000000000000,K_seed_mods,999999999999999967,999999999999999983,999999999999999989,1000000000000000009,selected_too_late
1000000000000000000,K_seed_mods,999999999999999877,999999999999999881,999999999999999967,,no_selection
1000000000000000000,K_seed_mods,999999999999999829,999999999999999833,999999999999999863,,no_selection
1000000000000000000,K_seed_mods,999999999999999749,999999999999999767,999999999999999829,,no_selection
1000000000000000000,K_seed_mods,999999999999999709,999999999999999727,999999999999999737,,no_selection
1000000000000000000,K_seed_mods,999999999999999637,999999999999999641,999999999999999709,,no_selection
