scale,anchor_p,seed_q0,true_q_for_audit_only,terminal_delta_from_seed_for_audit_only,terminal_visible_index_for_audit_only,seed_offset_from_anchor,candidate_bound,visible_divisor_bound,carrier_d_probe_only,p_mod_30,p_mod_210,p_mod_2310,seed_mod_30,seed_mod_210,seed_mod_2310,visible_open_count_after_seed,visible_delta_vector,visible_delta_prefix_2,visible_delta_prefix_3,visible_delta_prefix_4,visible_delta_prefix_8,visible_gap_prefix_3,visible_gap_prefix_4,visible_gap_prefix_8,open_square_delta_from_seed,open_square_visible_count_before,candidate_bound_contains_terminal
1000000000000,999999994319,999999994339,999999994361,22,2,20,128,10000,,29,179,1019,19,199,1039,10,12.22.24.40.42.48.64.84.90.100,12.22,12.22.24,12.22.24.40,12.22.24.40.42.48.64.84,10.2.16,10.2.16.2,10.2.16.2.6.16.20.6,2005662,10,True
1000000000000,999999994127,999999994159,999999994163,4,1,32,128,10000,,17,197,827,19,19,859,4,4.12.70.84,4.12,4.12.70,4.12.70.84,4.12.70.84,8.58.14,8.58.14,8.58.14,2005842,4,True
1000000000000,999999994087,999999994111,999999994117,6,1,24,128,10000,,7,157,787,1,181,811,5,6.16.48.52.60,6.16,6.16.48,6.16.48.52,6.16.48.52.60,10.32.4,10.32.4.8,10.32.4.8,2005890,5,True
1000000000000,999999994009,999999994043,999999994087,44,3,34,128,10000,,19,79,709,23,113,743,6,8.18.44.68.74.84,8.18,8.18.44,8.18.44.68,8.18.44.68.74.84,10.26.24,10.26.24.6,10.26.24.6.10,2005958,6,True
1000000000000,999999993929,999999993953,999999994009,56,3,24,128,10000,,29,209,629,23,23,653,5,30.38.56.90.98,30.38,30.38.56,30.38.56.90,30.38.56.90.98,8.18.34,8.18.34.8,8.18.34.8,2006048,5,True
1000000000000,999999993871,999999993877,999999993899,22,3,6,128,10000,,1,151,571,7,157,577,9,10.16.22.30.34.52.76.106.114,10.16,10.16.22,10.16.22.30,10.16.22.30.34.52.76.106,6.6.8,6.6.8.4,6.6.8.4.18.24.30.8,2006124,9,True
1000000000000,999999993793,999999993841,999999993847,6,1,48,128,10000,,13,73,493,1,121,541,9,6.18.30.36.46.52.58.66.70,6.18,6.18.30,6.18.30.36,6.18.30.36.46.52.58.66,12.12.6,12.12.6.10,12.12.6.10.6.6.8.4,2006160,9,True
1000000000000,999999993749,999999993757,999999993763,6,1,8,128,10000,,29,29,449,7,37,457,8,6.22.36.84.90.102.114.120,6.22,6.22.36,6.22.36.84,6.22.36.84.90.102.114.120,16.14.48,16.14.48.6,16.14.48.6.12.12.6,2006244,8,True
1000000000000,999999993653,999999993689,999999993749,60,3,36,128,10000,,23,143,353,29,179,389,6,2.50.60.68.74.90,2.50,2.50.60,2.50.60.68,2.50.60.68.74.90,48.10.8,48.10.8.6,48.10.8.6.16,2006312,6,True
1000000000000,999999993481,999999993523,999999993557,34,1,42,128,10000,,1,181,181,13,13,223,3,34.66.76,34.66,34.66.76,34.66.76,34.66.76,32.10,32.10,32.10,2006478,3,True
1000000000000,999999993389,999999993437,999999993467,30,1,48,128,10000,,29,89,89,17,137,137,2,30.44,30.44,30.44,30.44,30.44,14,14,14,2006564,2,True
